question,category
"In many countries, it is common for families to own and run their own business. Some people think this is the best way to run a business, while others consider this a potential source of problems.
What is your opinion? (2018, 2020, 2022)",Business & Money
"Some people think that when recruiting, companies should aim to take on people who are innovative and able to work independently while others considered they should recruit people who are able to work in a team and follow instructions.
Discuss both views and give your opinion.",Business & Money
"Some people think that the only way to have success in business is to have a unique product.
What factors, do you think, influence the success of a company? (reasons for success in business is a frequent question)",Business & Money
"Small businesses should avoid recruiting young women who do not have their own family in order to avoid paying maternity leave later
on.
To what extent do you agree or disagree? (2021)",Business & Money
"Sales companies should recruit people who are hungry for money as they will make the most dedicated workers.
Do you think money is the driving force behind hard work?
What factors should be taken into consideration when recruiting staff for sales positions? (2020)",Business & Money
"The reason that most individuals are in debit is due to the overuse as well as irresponsible use of credit cards. Banks should not issue credit cards unless they are completely sure of an individual's ability to pay back their debits.
To what extent do you agree with this? (this question is quite common)",Business & Money
"Some people believe that the higher a product is priced, the more likely it is that people will want to buy it.
To what extent does price influence potential buyers?
What other factors influence people to buy a product? (2015, 2018, 2021)",Business & Money
"Some people think that the only way to judge someone's success in business is by the amount of money they make.
Is money a true indicator of the success of a business?
In what other ways could success in a business be measured? (frequent question regarding indicators of success)",Business & Money
"It is common practice for some students to take a gap year between high school and university in order to do charitable work abroad in underdeveloped countries.
What are the advantages and disadvantages for young people of doing volunteer work? (common question)",Business & Money
"Rich countries are getting richer while poor countries are getting poorer.
What is the cause of this?
What could be done to solve this problem? (common question)",Business & Money
"Some people think that it is better for a country's economy for people to spend money, while others believe that it would be better for people to save money.
Discuss both sides and give your opinion. (2015, 2018, 2020)",Business & Money
"Some people fail in school, but end up being successful in life.
Why do you think that is the case?
What is the most important thing to succeed in life? (Reported 2017,
2021 GT Test)",Communication & Personality
"Some people think that ambition is essential for success. To what extent do you agree?
Note: this question could also be about charisma, orator skills and people skills. (appears most years in the test)",Communication & Personality
The first impression you have of a person is the best way to judge a person. Do you agree? (common topic),Communication & Personality
"Some people enjoy change in life, while other people try to avoid it.
What are the advantages and disadvantages of both approaches?",Communication & Personality
"People were happier in previous generations compared to now. To what extent do you agree.
Note: This question can also be about stress.",Communication & Personality
"Some people think that teenagers are happier than adults, but others do not agree. Discuss both sides and give your opinion.",Communication & Personality
"Nowadays celebrities are more famous for their glamour and wealth than for their achievements, and this sets a bad example to young people.
To what extent do you agree or disagree? (frequently appearing question)",Communication & Personality
"Some celebrities feel that the media violates their personal space and shares their private life publicly, while others feel it is just part of being famous.
What is your opinion? (2023)",Communication & Personality
The way someone dresses speaks volumes about their personality. To what extent do you agree? (common question),Communication & Personality
"With an increasing population communicating via the internet and text messaging, face to face communication will become a thing of the past.
To what extent do you agree? (common question)",Communication & Personality
"More and more businesses as well as individuals are choosing to communicate either professionally or socially using technology rather than being face to face.
Discuss the advantages and disadvantages of using technology for communicating. (similar to the question above)",Communication & Personality
"Many young children have unsupervised access to the internet and are using the internet to socialise with others. This has can lead to a number of dangerous situations which can be threatening for children.
What problems do children face when going online without parental supervision?
How can these problems be solved? (2018, 2021)",Communication & Personality
"Some people think that being able to communicate with others online is breaking down geographical barriers and enabling people, who would normally never have the chance to meet, to communicate.
What are the advantages of international communication online?
Are there any disadvantages to this?",Communication & Personality
"With the development of online communication, people will never be alone and will always be able to make new friends.
To what extent do you agree? (2022)",Communication & Personality
"Communication through text messaging and other instant forms of online communication are short and basic. Some people think this will be the death of grammar and spelling.
Do you agree or disagree? (2020)",Communication & Personality
"Some people think that intelligence is innate, while others think that we can improve our intelligence through learning.
Discuss both sides and give your opinion. (common question)",Communication & Personality
"Our personalities are predetermined as a result of our genes before we are born and there is nothing that can be done to alter our character traits.
To what extent do you agree? (2018, 2022)",Communication & Personality
"Many management interviews are based around assessing not only a person's level of experience and knowledge but also their personality.
Is leadership an innate skill?
What other characteristics do companies look for in a manager?",Communication & Personality
"Some people think that women are generally more peaceful than men as their characters are naturally more nurturing than aggressive.
To what extent do you agree with this?",Communication & Personality
"Some people think our first impression of someone is important, while others think we should not judge another person so quickly and should take our time to know them better. Discuss both sides and give your opinion. (2022, 2023)x",Communication & Personality
"The crime rate nowadays is decreasing compared to the past due to advance technology which can prevent and solve crime.
Do you agree or disagree? (Reported 2017, 2021 Academic Test)",Crime & Punishment
"Many criminals commit further crimes as soon as they released from prison.
What do you think are the causes of this?
What possible solutions can you suggest? (Reported 2015, 2017, 2022
Academic Test)",Crime & Punishment
"It is often thought that the increase in juvenile crime can be attributed to violence in the media.
Do you agree that this is the main cause of juvenile crime?
What solutions can you offer to deal with this situation? (common question)",Crime & Punishment
"In some societies, the number of crimes committed by teenagers is growing. Some people think that regardless of age, teenagers who commit major crimes should receive adult punishment.
To what extent do you agree? (2020, 2023)",Crime & Punishment
"Some countries are struggling with an increase in the rate of crime.
Many people think that having more police on the streets is the only way to reduce crime.
To what extent do you agree? (2018, 2020)",Crime & Punishment
"Some people think that women should not be allowed to work in the police force.
Do you agree or disagree?",Crime & Punishment
"Many crimes are often related to the consumption of alcohol. Some people think that the best way to reduce the crime rate is to ban alcohol.
Do you think this is an effective measure against crime?
What other solutions can you suggest?",Crime & Punishment
"Some people think certain prisoners should be made to do unpaid community work instead of being put behind bars.
To what extent do you agree? (Reported 2017, 2020, GT Test)",Crime & Punishment
"Many people believe that having a fixed punishment for all crimes is more efficient.
What are the advantages and disadvantages of having a fixed punishment? (common question)",Crime & Punishment
"Some people think that the government should be responsible for crime prevention, while others believe that it is the responsibility of the individual to protect themselves.
Discuss both sides and give your opinion.",Crime & Punishment
"The death penalty is the best way to control and reduce serious crime.
To what extent do you agree? (2018, 2020)",Crime & Punishment
"While it is sometimes thought that prison is the best place for criminals, others believe that there are better ways to deal with them.
What is your opinion? (common question - this is often reworded with a focus on the best ways to deal with criminals)",Crime & Punishment
"Crime rate, in most countries, is often higher in urban areas than in rural areas.
Why do you think that is?
What can be done to reduce the crime rate?",Crime & Punishment
"Some people think that poverty is the reason behind most crimes.
Do you agree or disagree?",Crime & Punishment
"Internet crime is increasing rapidly as more and more people are using the internet to make financial transactions.
What can be done to tackle this problem?",Crime & Punishment
"Some people think that the parents of children who commit crime should also receive a punishment.
Do you agree or disagree? (2020)",Crime & Punishment
"Some educationalists think that international exchange visits will benefit teenagers at the school.
To what extent do the advantages outweigh the disadvantages?
(Reported 2020, Academic Test)",EDU
"For centuries, important parts of education have remained such as reading, writing and maths. With the advent of computers, some people think that computer skill be made as a fourth skill to be added to the list.
To what extent do you agree? (Reported 2017, Academic Test)",EDU
"The government should allocate more funding to teaching sciences rather than other subjects in order for a country to develop and progress.
To what extent do you agree? (Reported 2017, Academic Test)",EDU
"Discipline is an ever increasing problem in modern schools. Some people think that discipline should be the responsibility of teachers, while others think that this is the role of parents.
Discuss both sides and give your opinion. (discipline in schools is a common question)",EDU
"Some people believe that children should not be given homework everyday, while others believe that they must get homework everyday in order to be successful at school.
Discuss both sides and give your opinion. (quite common question)",EDU
"Some children receive almost no encouragement from their parents regarding their performance at school, while other children receive too much pressure from their over enthusiastic parents which can have a negative impact on the child.
Why do you think some parents put too much pressure on their children to perform well at school?
What do you think the role of a parent should be in their child's education? (2017, 2019, 2020, 2021)",EDU
"The role of education is to prepare children for the modern world.
Schools should cut art and music out of the curriculum so that children can focus on useful subjects such as information technology.
To what extent do you agree?",EDU
"Some people think that students in high school should not waste their time studying literature, such as poems and novels.
Do you agree? (2020)",EDU
"Some parents believe that their children should do educational activities during their free time. Others say that in this way children are under pressure.
Discuss both views and give your opinion. (Reported 2017, 2019, 2020.
2021, 2023, GT Test)",EDU
"Some people think that teachers should be able to ask disruptive children to leave the class.
Do you think it is the best way to deal with a disruptive child in the classroom?
What other solutions are there? (as mentioned above, discipline is a common question)",EDU
"Education should be accessible to people of all economic backgrounds.
All levels of education, from primary school to tertiary education, should be free.
To what extent do you agree with this opinion? (common question)",EDU
"The current trend in education is to move away from traditional exams and instead have continuous assessment over the school vear.
What do you think of this trend? (2017, 2019, 2021, 2022, 2023)",EDU
"Some people think that educated people are more valuable than people who have learned skills through experience.
Do you think that educated people are the most valuable for society?
What kinds of skills can people learn through experience that can benefit society?",EDU
"Being able to speak a foreign language is an advantage these days.
Some people think that children should start learning a foreign language at primary school, while others think children should begin in secondary school.
Discuss both sides and give your opinion.",EDU
"The gap between education in richer countries and education in poorer countries is a growing concern.
What solutions can you suggest to deal with this situation?",EDU
"Some schools are very strict about their school uniforms and the appearance of their pupils, while other schools have a very relaxed dress code.
What are the advantages and disadvantages of children of having a school uniform?",EDU
"In some high schools, part of the curriculum requires students to participate in community work such as helping the elderly or disabled
In what way do children benefit from this?
Do you think it should be part of the curriculum? (2018, 2020)",EDU
"The best way to help underachieving pupils is to have compulsory after school activities which they must attend. This way they will become more involved in school and their grades will improve.
To what extent do you agree?",EDU
"Some people think that schools should invest more money in technology, such as more computers, while others think more money should be spent on teacher.
Discuss both views and give your opinion. (2020, 2022)",EDU
"Some people think that parents have the greatest influence on their child's academic development, while others think that a child's teacher has more influence.
Discuss both sides and give your opinion. (common question)",EDU
"In some countries, girls and boys are educated in different schools rather than in the same school.
What are the advantages and disadvantage of this? (2019, 2020, 2021)",EDU
"In nearly all science courses at university, there are significantly more male students than female students.
What is the reason for this?
What could be done to balance out the numbers?",EDU
"Some people think that it is beneficial for old people to learn something new while others believe that once a person is past 65 years of age it is too late to learn.
What is your opinion?",EDU
"It is thought by some that a school teacher's role is to motivate and inspire students. However, other people believe that a teacher's primary role is to pass on knowledge.
What do you think is the role of a teacher? (quite common question)",EDU
"Fewer schools are requiring children to learn and improve their hand writing skills.
Do the advantages outweigh the disadvantages of this trend?",EDU
"Human activity has had a negative impact on plants and animals around the world. Some people think that this cannot be changed, while others believe actions can be taken to bring about a change.
Discuss both and give your opinion. (Reported 2017, Academic Test)",Environment
"It is often said that governments spend too much money on projects to protect wildlife, while there are other problems that are more important?
Do you agree or disagree? (Reported 2017, GT Test)",Environment
"Some people think the best way to solve global environmental problems is to increase the cost of fuel.
To what extent do you agree or disagree? (Reported 2017, Academic Test)",Environment
"Some people think an international car-free day is an effective way to reduce air pollution. Others think there are more effective ways do to this.
Discuss both sides and give your opinion. (Reported 2017, Academic Test)",Environment
"While some people consider global warming to be the most pressing environmental problem which we have at the moment, others believe that deforestation has a more devastating impact on our world.
Discuss both sides and give your opinion.",Environment
"The government should reduce the amount of money spent on local environmental problems and instead increase funding into urgent and more threatening issues such as global warming.
To what extent do you agree?",Environment
"With increasing populations and ever growing urban centers, many countries are losing their natural beauty spots.
What benefits are there to protecting places of natural beauty?
How can this be solved?",Environment
"Although many people value their public parks, this space could be better used for other purposes such as residential areas for the ever growing population or to develop business and boost economies.
To what extent do you agree or disagree with this?",Environment
"With deforestation, urban development and illegal hunting, many animal species are becoming endangered as they lose their habitat and some are even threatened to the point of extinction.
Do you think it is important to protect animals?
What measures can be taken to deal with this problem?",Environment
"Global warming is one of the biggest threats to our environment.
What causes global warming?
What solutions are there to this problem?",Environment
"Both governments and individuals are spending vast amounts of money protecting animals and their habitat. This money could be better spent dealing with fundamental issues in society such as poverty and health care.
To what extent do you agree?",Environment
"As a result of growth in some urban centers, the environment in those cities is deteriorating.
How could this issue be tackled by both the government and individuals?",Environment
"Some people think that current environmental issues are global problems and should therefore be dealt with by the government while others believe that these problems can only be tackled by individuals.
Discuss both sides and give your opinion.",Environment
"Global environmental issues are the responsibility of rich nations not of poorer nations.
Do you agree with this opinion?",Environment
"Many people believe that global environmental problems should be dealt with internationally rather than domestically.
What is your opinion?",Environment
"Many animals are being hunted to the brink of extinction in order to fulfil the demand and greed of mankind for decorative purposes as well as for other reasons, such as traditional medicine.
How can this issue be tackled?",Environment
"Restricting air travel is the only way to prevent air pollution.
Do you agree?",Environment
"Nowadays parents put too much pressure on their children to succeed.
What is the reason for doing this?
Is this a negative or positive development? (Reported 2017, 2018, 2020, 2021)",Family
"Some people think it is better for children to grow up in the city, while others think that life in the countryside is more suitable.
What are the advantages and disadvantages of both places? (frequent question)",Family
"In many modern societies, grandchildren rarely spend any quality time with their grandparents.
What do you think are the consequences of this? (2019, 2021, 2022 - intergenerational topics are common many topics in IELTS)",Family
"Nowadays, it seems that different generations within the family spend less time doing activities together.
Why is that? Is it a positive or negative development? (2023)",Family
"Children can learn effectively by watching television. Therefore they should be encouraged to watch television regularly at home and at school.
To what extend do you agree or disagree? (Reported 2017, 2020, 2022,
2023 - the question could also ask about how to control the time children spend watching TV)",Family
"Some people think that the role of parents is to discipline their children and teach them about right and wrong. Other people consider that the main responsibility of parents is to nurture their children and provide them with a safe environment to grow up in.
Discuss both sides and give your opinion. (2020, 2022 - discipline questions could also be about corporal punishment as a means of discipline, such as hitting children)",Family
"Most modern families have both parents working and as a result children spend less and less time with their parents.
What is the reason for this?
What problems can this cause? (2020)
",Family
"The nuclear family is well adapted to move geographically due to its size.
Do you think children benefit in any way from moving?
Do you think the advantages outweigh the disadvantages? (2019)",Family
"In the past, the older generation were a source of knowledge and experience. Nowadays, the older generation have little understanding or experience of the modern world.",Family
"Has this had any negative impact on the way the elderly are treated by society and the family?
What could be done to solve this situation? (2020)",Family
"In many western countries there is an increasing number of couples choosing to have no children.
What are the advantages and disadvantages to couples having no children? (2018, 2020, 2021)",Family
"These days people are living into their 90's and beyond. As a result, there is increasing concern about care for the elderly.
Do you think it is the responsibility of the family to care for their elderly members or should the government be held responsible?
(frequent question)",Family
"Children these days have more freedom than in pervious generations.
Do you think this is a positive or negative development? (2021, 2023)",Family
"The values we gain from our parents and family have more influence over our future success than any skills or knowledge learned in school.
To what extent do you agree or disagree? (2023)",Family
"With a growing world population one of the most pressing issues is that of feeding such a large number of people. Some people think that GM foods offer a viable solution to this problem.
To what extent do you agree or disagree?",Food
"Some people think that educating people about the problems of eating too much fast food has no effect and that other measures should be
taken to tackle this issue. What is your opinion?",Food
People should only buy food sourced locally. What are the advantages and disadvantages of this?,Food
The government should ban convenience foods to improve public health. Do you agree?,Food
"Some people think that the increase in the number of obese people should be the responsibility of the government, while others think it should be the responsibility of individuals. Discuss both sides and give your opinion.",Food
"With a growing population, many people believe that we should focus on producing more GM foods.
What are the advantages and disadvantages of doing this?",Food
Putting a tax on sugar is a good way to reduce the number of people incurring health problems from eating too much sugary foods and drinks. Do you agree?,Food
"An increasing number of children are overweight which could result many problems when they grow older both in terms of their health and health care costs.
Why do you think so many children are overweight?
What could be done to solve this problem?",Food
"Unless fast foods and ready-made meals are banned, traditional methods of cooking will soon be lost. To what extent do you agree?",Food
"With a fast pace of modern life more and more people are turning towards fast food for their main meals.
Do you think the advantages outweigh the disadvantages?",Food
"Everyone should adopt a vegetarian diet because eating meat can cause serious health problems.
Do you agree or disagree?",Food
"Should governments make decisions about people's lifestyle, or should people make their own decisions?",Government
"A government has a responsibility to its citizens to ensure their safety.
Therefore, some people think that the government should increase spending on defense but spend less on social benefits. To what extent do you agree?",Government
"Some people think that the government is responsible for the rise in obesity in children, while others think it is the fault of the parents.
Discuss both sides and give your opinion.",Government
"Some people think that the government should give money to creative people, such as artists and musicians. To what extent do you agree?",Government
The government should lower the budget on the arts in order to allocate more money to education. To what extent do you agree?,Government
"Some people think that only the government can make significant changes in society, while others think that individuals can have a lot of influence. What is your opinion?",Government
"More and more people are suffering from health problems caused by a modern life style which cannot be treated with modern medicines.
Some people think that a return to traditional medicine should be encouraged.
To what extent do you agree?",Health
"Health care should not be provided for free regardless of a person's income. The heath of a person is in their own hands and they should, therefore, be held accountable for that.
Do you agree with this opinion?",Health
"The best way to improve health is to exercise daily.
To what extent do you agree?",Health
"Some people think that public health is a the responsibility of the government while others think that people should be responsible for their own health.
Discuss both sides and give your opinion.",Health
"Doctors should be responsible for educating their patients about how to improve their health.
Do you agree with this?",Health
"Walking is known to be beneficial for health and yet fewer and fewer people are walking these days.
What are the reasons for this?
What can be done to tackle this problem?",Health
